number,image_link,image_link/_title,image/_alt,title_link/_text,yeartype_number,value_number,dir_link,dir_link/_text,credit_link_1,credit_link_1/_text,credit_link_1/_title,credit_value_2,credit_value_3,credit_link_2,credit_link_2/_text,credit_link_3,credit_link_3/_text,credit_link_3/_title,credit_value_4,credit_link_4,credit_link_4/_text,credit_link_4/_title,genre_content,genre_links,genre_links/_text,genre_links/_title,runtime_value,runtime_value_numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,http://www.imdb.com/title/tt0327162/,The Stepford Wives (2004),The Stepford Wives (2004),The Stepford Wives,2004,5.2,http://www.imdb.com/name/nm0000568/,Frank Oz,http://www.imdb.com/name/nm0000173/,Nicole Kidman,,",",http://www.imdb.com/name/nm0000541/,Bette Midler,,,Comedy | Sci-Fi | Thriller,http://www.imdb.com/genre/comedy, http://www.imdb.com/genre/sci_fi, http://www.imdb.com/genre/thriller,Comedy, Sci-Fi, Thriller,,93 mins.,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,http://www.imdb.com/title/tt0107969/,Rising Sun (1993),Rising Sun (1993),Rising Sun,1993,6.2,http://www.imdb.com/name/nm0442241/,Philip Kaufman,http://www.imdb.com/name/nm0000125/,Sean Connery,,",",http://www.imdb.com/name/nm0000648/,Wesley Snipes,,,Action | Crime | Drama | Mystery | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Action, Crime, Drama, Mystery, Thriller,,125 mins.,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,http://www.imdb.com/title/tt1991245/,Chernobyl Diaries (2012),Chernobyl Diaries (2012),Chernobyl Diaries,2012,5,http://www.imdb.com/name/nm0662086/,Bradley Parker,http://www.imdb.com/name/nm0565366/,Jesse McCartney,,",",http://www.imdb.com/name/nm1838070/,Jonathan Sadowski,,,Horror | Mystery | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Horror, Mystery, Thriller,,86 mins.,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,http://www.imdb.com/title/tt0780516/,Flawless (2007),Flawless (2007),Flawless,2007,6.8,http://www.imdb.com/name/nm0705535/,Michael Radford,http://www.imdb.com/name/nm0000193/,Demi Moore,,",",http://www.imdb.com/name/nm0000323/,Michael Caine,,,Crime | Drama | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Crime, Drama, Thriller,,108 mins.,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,http://www.imdb.com/title/tt0492044/,The Haunting in Connecticut (2009),The Haunting in Connecticut (2009),The Haunting in Connecticut,2009,5.9,http://www.imdb.com/name/nm1433996/,Peter Cornwell,http://www.imdb.com/name/nm0000515/,Virginia Madsen,,",",http://www.imdb.com/name/nm0233027/,Martin Donovan,,,Drama | Horror | Mystery | Thriller,http://www.imdb.com/genre/drama, http://www.imdb.com/genre/horror, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Drama, Horror, Mystery, Thriller,,92 mins.,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,http://www.imdb.com/title/tt0377109/,The Ring Two (2005),The Ring Two (2005),The Ring Two,2005,5.4,http://www.imdb.com/name/nm0620378/,Hideo Nakata,http://www.imdb.com/name/nm0915208/,Naomi Watts,,",",http://www.imdb.com/name/nm0233562/,David Dorfman,,,Horror | Mystery | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Horror, Mystery, Thriller,,110 mins.,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,http://www.imdb.com/title/tt0048728/,To Catch a Thief (1955),To Catch a Thief (1955),To Catch a Thief,1955,7.5,http://www.imdb.com/name/nm0000033/,Alfred Hitchcock,http://www.imdb.com/name/nm0000026/,Cary Grant,,",",http://www.imdb.com/name/nm0000038/,Grace Kelly,,,Mystery | Romance | Thriller,http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/thriller,Mystery, Romance, Thriller,,106 mins.,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,http://www.imdb.com/title/tt2369396/,Bounty Killer (2013),Bounty Killer (2013),Bounty Killer,2013,5.4,http://www.imdb.com/name/nm3026907/,Henry Saine,http://www.imdb.com/name/nm0550452/,Matthew Marsden,,",",http://www.imdb.com/name/nm0518085/,Kristanna Loken,,,Action | Sci-Fi | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/sci_fi, http://www.imdb.com/genre/thriller,Action, Sci-Fi, Thriller,,92 mins.,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,http://www.imdb.com/title/tt0107798/,The Pelican Brief (1993),The Pelican Brief (1993),The Pelican Brief,1993,6.5,http://www.imdb.com/name/nm0001587/,Alan J. Pakula,http://www.imdb.com/name/nm0000210/,Julia Roberts,,",",http://www.imdb.com/name/nm0000243/,Denzel Washington,,,Crime | Drama | Mystery | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Crime, Drama, Mystery, Thriller,,141 mins.,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,http://www.imdb.com/title/tt3029476/,Pressure (2015),Pressure (2015),Pressure,2015,5.6,http://www.imdb.com/name/nm2151723/,Ron Scalpello,http://www.imdb.com/name/nm0396812/,Danny Huston,,",",http://www.imdb.com/name/nm0328828/,Matthew Goode,,,Drama | Thriller,http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Drama, Thriller,,91 mins.,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,http://www.imdb.com/title/tt0092240/,The Wraith (1986),The Wraith (1986),The Wraith,1986,5.8,http://www.imdb.com/name/nm0555549/,Mike Marvin,http://www.imdb.com/name/nm0000221/,Charlie Sheen,,",",http://www.imdb.com/name/nm0001024/,Nick Cassavetes,,,Action | Horror | Romance | Sci-Fi | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/horror, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/sci_fi, http://www.imdb.com/genre/thriller,Action, Horror, Romance, Sci-Fi, Thriller,,93 mins.,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,http://www.imdb.com/title/tt0074806/,The Little Girl Who Lives Down the Lane (1976),The Little Girl Who Lives Down the Lane (1976),The Little Girl Who Lives Down the Lane,1976,7.1,http://www.imdb.com/name/nm0004654/,Nicolas Gessner,http://www.imdb.com/name/nm0000149/,Jodie Foster,,",",http://www.imdb.com/name/nm0000640/,Martin Sheen,,,Drama | Mystery | Thriller,http://www.imdb.com/genre/drama, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Drama, Mystery, Thriller,,100 mins.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,http://www.imdb.com/title/tt0074860/,Marathon Man (1976),Marathon Man (1976),Marathon Man,1976,7.5,http://www.imdb.com/name/nm0772259/,John Schlesinger,http://www.imdb.com/name/nm0000163/,Dustin Hoffman,,",",http://www.imdb.com/name/nm0000059/,Laurence Olivier,,,Crime | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/thriller,Crime, Thriller,,125 mins.,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,http://www.imdb.com/title/tt0457495/,Alex Rider: Operation Stormbreaker (2006),Alex Rider: Operation Stormbreaker (2006),Alex Rider: Operation Stormbreaker,2006,5.1,http://www.imdb.com/name/nm0768249/,Geoffrey Sax,http://www.imdb.com/name/nm1641117/,Alex Pettyfer,,",",http://www.imdb.com/name/nm0000620/,Mickey Rourke,,,Action | Adventure | Family | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/adventure, http://www.imdb.com/genre/family, http://www.imdb.com/genre/thriller,Action, Adventure, Family, Thriller,,93 mins.,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,http://www.imdb.com/title/tt0090180/,To Live and Die in L.A. (1985),To Live and Die in L.A. (1985),To Live and Die in L.A.,1985,7.2,http://www.imdb.com/name/nm0001243/,William Friedkin,http://www.imdb.com/name/nm0676973/,William Petersen,,",",http://www.imdb.com/name/nm0000353/,Willem Dafoe,,,Action | Crime | Drama | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Action, Crime, Drama, Thriller,,116 mins.,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,http://www.imdb.com/title/tt0103112/,Toy Soldiers (1991),Toy Soldiers (1991),Toy Soldiers,1991,6.5,http://www.imdb.com/name/nm0677943/,Daniel Petrie Jr.,http://www.imdb.com/name/nm0000276/,Sean Astin,,",",http://www.imdb.com/name/nm0000696/,Wil Wheaton,,,Action | Drama | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Action, Drama, Thriller,,111 mins.,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,http://www.imdb.com/title/tt0279331/,Dark Blue (2002),Dark Blue (2002),Dark Blue,2002,6.6,http://www.imdb.com/name/nm0005421/,Ron Shelton,http://www.imdb.com/name/nm0000621/,Kurt Russell,,",",http://www.imdb.com/name/nm0000609/,Ving Rhames,,,Crime | Drama | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Crime, Drama, Thriller,,118 mins.,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,http://www.imdb.com/title/tt4340720/,Chain of Command (2015),Chain of Command (2015),Chain of Command,2015,3.5,http://www.imdb.com/name/nm0140109/,Kevin Carraway,http://www.imdb.com/name/nm0925220/,Michael Jai White,,",",http://www.imdb.com/name/nm1043075/,Max Ryan,,,Action | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/thriller,Action, Thriller,,88 mins.,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,http://www.imdb.com/title/tt0165929/,Romeo Must Die (2000),Romeo Must Die (2000),Romeo Must Die,2000,6.1,http://www.imdb.com/name/nm0005647/,Andrzej Bartkowiak,http://www.imdb.com/name/nm0001472/,Jet Li,,",",http://www.imdb.com/name/nm0004691/,Aaliyah,,,Action | Crime | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/thriller,Action, Crime, Thriller,,115 mins.,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,http://www.imdb.com/title/tt2218003/,Closed Circuit (2013),Closed Circuit (2013),Closed Circuit,2013,6.2,http://www.imdb.com/name/nm1259871/,John Crowley,http://www.imdb.com/name/nm0051509/,Eric Bana,,",",http://www.imdb.com/name/nm0356017/,Rebecca Hall,,,Crime | Drama | Mystery | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/thriller,Crime, Drama, Mystery, Thriller,,96 mins.,"96""﻿number,image_link,image_link/_text,image_link/_title,image,image/_alt,title_link,title_link/_text,title_link/_title,yeartype_number,ratingstars_link_1,ratingstars_link_1/_text,ratingstars_link_1/_title,ratingstars_link_2,ratingstars_link_2/_text,ratingstars_link_2/_title,ratingstars_link_3,ratingstars_link_3/_text,ratingstars_link_3/_title,ratingstars_link_4,ratingstars_link_4/_text,ratingstars_link_4/_title,ratingstars_link_5,ratingstars_link_5/_text,ratingstars_link_5/_title,ratingstars_link_6,ratingstars_link_6/_text,ratingstars_link_6/_title,ratingstars_link_7,ratingstars_link_7/_text,ratingstars_link_7/_title,ratingstars_link_8,ratingstars_link_8/_text,ratingstars_link_8/_title,ratingstars_link_9,ratingstars_link_9/_text,ratingstars_link_9/_title,10_link,10_link/_text,10_link/_title,value_number,grey_value,grey_number,x_link,x_link/_text,x_link/_title,outline_description,dir_label,dir_link,dir_link/_text,dir_link/_title,credit_value_1,credit_link_1,credit_link_1/_text,credit_link_1/_title,credit_value_2,credit_value_3,credit_link_2,credit_link_2/_text,credit_link_2/_title,label,credit_link_3,credit_link_3/_text,credit_link_3/_title,credit_value_4,credit_link_4,credit_link_4/_text,credit_link_4/_title,genre_content,genre_links,genre_links/_text,genre_links/_title,runtime_value,runtime_value_numbers
""1",http://www.imdb.com/title/tt1663202/,,The Revenant (2015),"http://ia.media-imdb.com/images/M/MV5BMjU4NDExNDM1NF5BMl5BanBnXkFtZTgwMDIyMTgxNzE@._V1._SX54_CR0,0,54,74_.jpg",The Revenant (2015),http://www.imdb.com/title/tt1663202/,The Revenant,,2015,http://www.imdb.com/register/login?why=vote,1,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,2,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,3,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,4,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,5,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,6,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,7,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,8,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,9,Register or login to rate this title,http://www.imdb.com/register/login?why=vote,10,Register or login to rate this title,8.3,/,10,http://www.imdb.com/title/tt1663202/vote?v=X,k=BCYp7nooxcTSvnB3j3Cu8zo88u9Ak5LQYmOGCa6JPO8FY69K7VesYpfCMrEEb7Jf5xr_TcE8OZE4KNQlYcHudGloQ8ApaBN_8HnMTqOWDpCOxPo,X,Delete,A frontiersman on a fur trading expedition in the 1820's fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Dir:,http://www.imdb.com/name/nm0327944/,Alejandro González Iñárritu,,With:,http://www.imdb.com/name/nm0000138/,Leonardo DiCaprio,,,",",http://www.imdb.com/name/nm0362766/,Tom Hardy,,",",http://www.imdb.com/name/nm2401020/,Will Poulter,,,,,,Adventure | Drama | Thriller | Western,http://www.imdb.com/genre/adventure, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller, http://www.imdb.com/genre/western,Adventure, Drama, Thriller, Western,,156 mins.,156,,,,,,,,,,,,,,,
1351,http://www.imdb.com/title/tt0048424/,The Night of the Hunter (1955),The Night of the Hunter (1955),The Night of the Hunter,1955,8.1,Dir:,http://www.imdb.com/name/nm0001452/,With:,http://www.imdb.com/name/nm0000053/,Robert Mitchum,,,",",http://www.imdb.com/name/nm0001859/,",",http://www.imdb.com/name/nm0001273/,Lillian Gish,,,,,,Crime | Drama | Film-Noir | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/film_noir, http://www.imdb.com/genre/thriller,Crime, Drama, Film-Noir, Thriller,,92 mins.,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,http://www.imdb.com/title/tt0805570/,The Midnight Meat Train (2008),The Midnight Meat Train (2008),The Midnight Meat Train,2008,6.1,Dir:,http://www.imdb.com/name/nm0457565/,With:,http://www.imdb.com/name/nm0005068/,Vinnie Jones,,,",",http://www.imdb.com/name/nm0177896/,",",http://www.imdb.com/name/nm0004753/,Leslie Bibb,,,,,,Horror | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/thriller,Horror, Thriller,,98 mins.,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,http://www.imdb.com/title/tt0085382/,Cujo (1983),Cujo (1983),Cujo,1983,6,Dir:,http://www.imdb.com/name/nm0853546/,With:,http://www.imdb.com/name/nm0908914/,Dee Wallace,,,",",http://www.imdb.com/name/nm0446298/,",",http://www.imdb.com/name/nm0001622/,Danny Pintauro,,,,,,Horror | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/thriller,Horror, Thriller,,93 mins.,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,http://www.imdb.com/title/tt0086859/,Against All Odds (1984),Against All Odds (1984),Against All Odds,1984,5.8,Dir:,http://www.imdb.com/name/nm0000431/,With:,http://www.imdb.com/name/nm0001829/,Rachel Ward,,,",",http://www.imdb.com/name/nm0000313/,",",http://www.imdb.com/name/nm0000249/,James Woods,,,,,,Action | Adventure | Crime | Drama | Romance | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/adventure, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/thriller,Action, Adventure, Crime, Drama, Romance, Thriller,,128 mins.,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,http://www.imdb.com/title/tt0255819/,Baby Boy (2001),Baby Boy (2001),Baby Boy,2001,6.4,Dir:,http://www.imdb.com/name/nm0005436/,With:,http://www.imdb.com/name/nm0942189/,AlexSandra Wright,,,",",http://www.imdb.com/name/nm0879085/,",",http://www.imdb.com/name/nm0378245/,Taraji P. Henson,,,,,,Comedy | Crime | Drama | Romance | Thriller,http://www.imdb.com/genre/comedy, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/thriller,Comedy, Crime, Drama, Romance, Thriller,,130 mins.,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,http://www.imdb.com/title/tt0977855/,Fair Game (2010),Fair Game (2010),Fair Game,2010,6.8,Dir:,http://www.imdb.com/name/nm0510731/,With:,http://www.imdb.com/name/nm0915208/,Naomi Watts,,,",",http://www.imdb.com/name/nm0000576/,",",http://www.imdb.com/name/nm4156443/,Sonya Davison,,,,,,Biography | Drama | Thriller,http://www.imdb.com/genre/biography, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Biography, Drama, Thriller,,108 mins.,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,http://www.imdb.com/title/tt3469244/,Phantom (2015),Phantom (2015),Phantom,2015,5.5,Dir:,http://www.imdb.com/name/nm1203138/,With:,http://www.imdb.com/name/nm0451307/,Saif Ali Khan,,,",",http://www.imdb.com/name/nm1229940/,",",http://www.imdb.com/name/nm0149837/,Sabyasachi Chakraborty,,,,,,Action | Drama | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Action, Drama, Thriller,,136 mins.,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,http://www.imdb.com/title/tt4416518/,Shark Lake (2015),Shark Lake (2015),Shark Lake,2015,3.3,Dir:,http://www.imdb.com/name/nm1409208/,With:,http://www.imdb.com/name/nm0000185/,Dolph Lundgren,,,",",http://www.imdb.com/name/nm1523899/,",",http://www.imdb.com/name/nm7106360/,Lily Brooks O'Briant,,,,,,Horror | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/thriller,Horror, Thriller,,92 mins.,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,http://www.imdb.com/title/tt0134983/,Supernova (2000),Supernova (2000),Supernova,2000,4.7,Dir:,http://www.imdb.com/name/nm0001353/,With:,http://www.imdb.com/name/nm0000652/,James Spader,,,",",http://www.imdb.com/name/nm0004906/,",",http://www.imdb.com/name/nm0000677/,Robin Tunney,,,,,,Horror | Sci-Fi | Thriller,http://www.imdb.com/genre/horror, http://www.imdb.com/genre/sci_fi, http://www.imdb.com/genre/thriller,Horror, Sci-Fi, Thriller,,90 mins.,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,http://www.imdb.com/title/tt0038787/,Notorious (1946),Notorious (1946),Notorious,1946,8.1,Dir:,http://www.imdb.com/name/nm0000033/,With:,http://www.imdb.com/name/nm0000026/,Cary Grant,,,",",http://www.imdb.com/name/nm0000006/,",",http://www.imdb.com/name/nm0001647/,Claude Rains,,,,,,Drama | Film-Noir | Romance | Thriller,http://www.imdb.com/genre/drama, http://www.imdb.com/genre/film_noir, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/thriller,Drama, Film-Noir, Romance, Thriller,,101 mins.,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,http://www.imdb.com/title/tt0040746/,Rope (1948),Rope (1948),Rope,1948,8,Dir:,http://www.imdb.com/name/nm0000033/,With:,http://www.imdb.com/name/nm0000071/,James Stewart,,,",",http://www.imdb.com/name/nm0197982/,",",http://www.imdb.com/name/nm0335048/,Farley Granger,,,,,,Crime | Drama | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Crime, Drama, Thriller,,80 mins.,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,http://www.imdb.com/title/tt0107665/,Needful Things (1993),Needful Things (1993),Needful Things,1993,6.2,Dir:,http://www.imdb.com/name/nm0381699/,With:,http://www.imdb.com/name/nm0001884/,Max von Sydow,,,",",http://www.imdb.com/name/nm0000438/,",",http://www.imdb.com/name/nm0000889/,Bonnie Bedelia,,,,,,Crime | Drama | Fantasy | Horror | Thriller,http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/fantasy, http://www.imdb.com/genre/horror, http://www.imdb.com/genre/thriller,Crime, Drama, Fantasy, Horror, Thriller,,120 mins.,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,http://www.imdb.com/title/tt0093640/,No Way Out (1987),No Way Out (1987),No Way Out,1987,7.1,Dir:,http://www.imdb.com/name/nm0002044/,With:,http://www.imdb.com/name/nm0000126/,Kevin Costner,,,",",http://www.imdb.com/name/nm0000432/,",",http://www.imdb.com/name/nm0000707/,Sean Young,,,,,,Action | Crime | Drama | Mystery | Romance | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/mystery, http://www.imdb.com/genre/romance, http://www.imdb.com/genre/thriller,Action, Crime, Drama, Mystery, Romance, Thriller,,114 mins.,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,http://www.imdb.com/title/tt1127715/,Sin Nombre (2009),Sin Nombre (2009),Sin Nombre,2009,7.6,Dir:,http://www.imdb.com/name/nm1560977/,With:,http://www.imdb.com/name/nm2103508/,Paulina Gaitan,,,",",http://www.imdb.com/name/nm2588226/,",",http://www.imdb.com/name/nm2861211/,Leonardo Alonso,,,,,,Adventure | Crime | Drama | Thriller,http://www.imdb.com/genre/adventure, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/drama, http://www.imdb.com/genre/thriller,Adventure, Crime, Drama, Thriller,,96 mins.,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,http://www.imdb.com/title/tt1112782/,Thick as Thieves (2009),Thick as Thieves (2009),Thick as Thieves,2009,6,Dir:,http://www.imdb.com/name/nm0001460/,With:,http://www.imdb.com/name/nm0784884/,Rade Serbedzija,,,",",http://www.imdb.com/name/nm0000151/,",",http://www.imdb.com/name/nm0001233/,Robert Forster,,,,,,Action | Crime | Thriller,http://www.imdb.com/genre/action, http://www.imdb.com/genre/crime, http://www.imdb.com/genre/thriller,Action, Crime, Thriller,,104 mins.,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
