*Opening*,,Title,Director,Cast,Genre
,*15*,*Bachna Ae Haseeno*,Siddharth Anand,"Ranbir Kapoor, Bipasha Basu, Minissha Lamba, Deepika Padukone, Kunal Kapoor","Comedy, Drama, Romance"
,,*God Tussi Great Ho*,Rumi Jaffery,"Sohail Khan, Salman Khan, Priyanka Chopra, Amitabh Bachchan","Comedy, Romance"
,*22*,*Phoonk*,Ram Gopal Varma,"Amruta Khanvilkar, Ahsaas Channa, Kenny Desai, Ashwini Kalsekar",Horror
,,*Mumbai Meri Jaan*,Nishikanth Kamath,"Kay Kay Menon, Soha Ali Khan, Paresh Rawal, R. Madhavan",
,,*Maan Gaye Mughal-e-Azam*,Sanjay Chhel,"Rahul Bose, Mallika Sherawat",Comedy
,*29*,*Rock On!!*,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Prachi Desai, Luke Kenny, Purab Kohli, Koel 
Purie, Shahana Goswami, Nicolette Bird","Drama, Romance, Musical"
,,*C Kkompany*,Sachin Yardi,"Tusshar Kapoor, Raima Sen, Rajpal Yadav, Anupam Kher,",Comedy
,,*Chamku*,Kabeer Kaushik,"Priyanka Chopra, Bobby Deol, Danny Denzongpa, Irrfan Khan, Ritesh Deshmukh, Rajpal 
Yadav","Musical, Romance, Thriller"
,,*Mukhbiir*,,"Jackie Shroff, Om Puri, Sunil Shetty, Rahul Dev, Sameer Dattani, Raima Sen, Sushant 
Singh",Thriller
*SEP*,*5*,*A Wednesday!*,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Shergill","Drama, Thriller"
,,*Tahaan*,Santosh Sivan,"Rahul Bose, Sarika, Rahul Khanna, Anupam Kher","Adventure, Drama"
,*12*,*1920*,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma","Horror, Mystery, Romance, Thriller"
,,*The Last Lear*,Rituparno Ghosh,"Amitabh Bachchan, Preity Zinta, Arjun Rampal, Divya Dutta, Shefali Shah, Jisshu 
Sengupta","Biography, Drama"
,*19*,*Welcome to Sajjanpur*,Shyam Benegal,"Shreyas Talpade, Amrita Rao","Comedy, Drama"
,,*Saas Bahu Aur Sensex*,Shona Urvashi,"Tanushree Dutta, Ankur Khanna, Kiron Kher, Farooq Sheikh",Comedy
,*26*,*Hari Puttar: A Comedy of Terrors*,"Lucky Kohli, Rajesh Bajaj","Sarika, Zain Khan, Sweeny Khara, Saurabh Shukla, Vijay Raaz, Jackie Shroff, Lilette 
Dubey",Comedy
*OCT*,*2*,*Kidnap*,Sanjay Gadhvi,"Sanjay Dutt, Imran Khan, Minissha Lamba, Vidya Malvade, Rahul Dev","Crime, Thriller"
,,*Drona*,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon, Jaya Bachchan","action, Adventure, Fantasy"
,*10*,*Hello*,Atul Agnihotri,"Sohail Khan, Sharman Joshi, Amrita Arora, Gul Panag, Isha Koppikar","Drama, Romance"
,*17*,*Karzzzz*,Satish Kaushik,"Himesh Reshammiya, Benjamin Schoefer, Urmila Matondkar, Dino Morea, Gulshan 
Grover","action, Romance"
,*24*,*Heroes*,Samir Karnik,"Salman Khan, Preity Zinta, Mithun Chakraborty, Bobby Deol, Sunny Deol, Sohail 
Khan, Vatsal Sheth, Amrita Arora, Dino Morea, Riya Sen",Drama
,,*Roadside Romeo*,Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor, Javed Jaffrey","Animation, Family, Romance"
,*29*,*Golmaal Returns*,Rohit Shetty,"Ajay Devgan, Kareena Kapoor, Arshad Warsi, Amrita Arora, Shreyas Talpade, Celina 
Jaitley, Tusshar Kapoor, Anjana Sukhani",Comedy
,,*Fashion*,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Arbaaz Khan, Mugdha Godse, Arjan Bajwa, Samir 
Soni","Drama, Romance"
*NOV*,*7*,*EMI - Liya Hai Toh Chukana Parega*,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Urmila Matondkar, Malaika Arora, Aashish 
Chaudhary, Neha Oberoi, Manoj Joshi","Comedy, Social"
,,*Ek Vivaah... Aisa Bhi*,Kaushik Ghatak,"Sonu Sood, Ishaa Koppikar, Alok Nath",Drama
,*14*,*Dostana*,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol",Comedy
,,*Dasvidaniya*,Shashant Shah,"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Ranvir Shorey","Comedy, Drama, Musical, Romance"
,,*Deshdrohi*,Jagdish A. Sharma,"Kamaal Rashid Khan, Krishna Abhishek, Hrishitaa Bhatt, Gracy Singh, Zulfi 
Syed",Politics
,*21*,*Yuvvraaj*,Subhash Ghai,"Anil Kapoor, Salman Khan, Zayed Khan, Katrina Kaif, Boman Irani, Mithun 
Chakraborty","Musical, Drama, Romance, Family"
,*28*,*Oye Lucky! Lucky Oye!*,Dibakar Banerjee,"Abhay Deol, Neetu Chandra, Paresh Rawal, Manu Rishi, Richa Chadda, Archana 
Puran Singh","Comedy, Drama"
,,*Sorry Bhai!*,Onir,"Shabana Azmi, Boman Irani, Sanjay Suri, Sharman Joshi, Chitrangada Singh",Romance
*DEC*,*5*,*Maharathi*,Shivam Nair,"Paresh Rawal, Neha Dhupia, Boman Irani",Thriller
,,*Dil Kabaddi*,Anil Sharma (Senior),"Konkona Sen Sharma, Soha Ali Khan, Irrfan Khan, Rahul Khanna, Rahul Bose,","Comedy, Romance"
,,*Meerabai Not Out*,*Chandrakant Kulkarni*,"Mahesh Manjrekar, Mandira Bedi, Eijaz Khan, Anupam Kher",Drama
,,"*Oh, My God*",Sourabh Shrivastava,"Vinay Pathak, Saurabh Shukla, Divya Dutta, Gaurav Gera, Harsh Chhaya",Comedy
,,*Gumnaam – The Mystery*,Neeraj Pathak,"Mahima Chaudhry, Dino Morea","Thriller, Mystery"
,*12*,*Rab Ne Bana Di Jodi*,Aditya Chopra,"Shahrukh Khan, Anushka Sharma",Romance
,*19*,*Wafaa*,Rakesh Sawant,"Rajesh Khanna, Laila Khan, Shahib Chopra, Diya Hayat, Tinnu Anand, Sudesh 
Berry","Romance, Drama, Romance"
,*26*,*Ghajini*,A. R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Rawat, Riyaz Khan","action, Drama, Mystery, Romance, Thriller"
,,*Jumbo*,Kompin Kemgumnird,"Akshay Kumar, Lara Dutta, Dimple Kapadia, Rajpal Yadav, Gulshan Grover",Animation
