Title,Director,Cast,Genre
*Jigyaasa*,Faisal Saif,"Hrishita Bhatt, Varsha Usgaonkar, Mukesh Tiwari, Milind Gunaji, Jaya 
Bhattacharya, Kader Khan","Social, Adult"
*Kabul Express*,Kabir Khan,"John Abraham, Arshad Warsi","Drama, Thriller"
*Kabhi Alvida Naa Kehna*,Karan Johar,"Amitabh Bachchan, Shahrukh Khan, Abhishek Bachchan, Rani Mukerji, Preity 
Zinta, Kirron Kher","Romance, Drama, Musical, Comedy, Family, Social"
*Khosla Ka Ghosla*,,"Anupam Kher, Boman Irani",Comedy
*Krishna*,,"Sonu Nigam, Sunidhi Chauhan",
*Krrish*,Rakesh Roshan,"Rekha, Hrithik Roshan, Priyanka Chopra, Preity Zinta, Naseeruddin Shah, Sharat 
Saxena","Action, Fantasy, Romance, Musical"
*Lady Chatterjee - Sawan Dutta*,,,
*Lage Raho Munna Bhai*,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani, Jimmy Shergill, Diya 
Mirza, Abhishek Bachchan","Comedy, Social"
*Love Ke Chakkar Mein*,B.H Tharunkumar,"Akshat Bhatia, Rishi Kapoor, Namitha, Satish Shah","Romance, Comedy"
*Madhubaala*,,,
*Malamaal Weekly*,,"Paresh Rawal, Om Puri, Ritesh Deshmukh, Reema Sen, Arbaaz Khan, Shakti 
Kapoor, Asrani",Comedy
*Mere Jeevan Saathi*,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Amisha Patel","Drama, Romance"
*Meri Jung*,,,
*Mirza Sahiba*,,,
*Mobile Phone*,,,
*Mr 100% - The Real Player*,,,
*Naksha*,,"Sunny Deol, Vivek Oberoi, Sameera Reddy, Jackie Shroff","Thriller, Fantasy"
*Nazar*,Soni Razdan,"Meera, Ashmit Patel",
*Omkara*,Vishal Bhardwaj,"Ajay Devgan, Kareena Kapoor, Saif Ali Khan, Vivek Oberoi, Konkona Sen Sharma, 
Bipasha Basu, Naseeruddin Shah","Drama, Social, Action"
*Phir Hera Pheri*,Neeraj Vora,"Sunil Shetty, Akshay Kumar, Paresh Rawal, Bipasha Basu, Rimi Sen",Comedy
*Prateeksha*,,"Jimmy Shergill, Dia Mirza",
*Pyaar Ke Side Effects*,Saket Chaudhary,"Rahul Bose, Mallika Sherawat","Comedy, Romance"
*Pyare Mohan*,,"Vivek Oberoi, Fardeen Khan, Esha Deol, Amrita Rao, Boman Irani",Comedy
*Rafta Rafta*,,,
*Rang De Basanti*,Rakeysh Omprakash Mehra,"Aamir Khan, Kunal Kapoor, Soha Ali Khan, Sharman Joshi, Atul Kulkarni, 
Madhavan, Alice Patten, Kirron Kher, Om Puri, Anupam Kher, Waheeda Rehman, Mohan 
Agashe","Drama, Patriotic"
*Rehguzar - The Road to Destiny*,,,
*Rocky – The Rebel*,,"Zayed Khan, Minissha Lamba, Isha Sharvani","Action, Romance"
*Saawan... The Love Season*,Saawan Kumar Tak,"Salman Khan, Saloni Aswani, Kapil Jhaveri, Johny Lever","Drama, Romance"
*Sacred Evil – A True Story*,,Sarika,"Horror, Thriller"
*Salaam Bacche*,,,
*Sandwich*,Anees Bazmee,"Govinda, Raveena Tandon, Mahima Chaudhary",Comedy
*Shaadi Karke Phas Gaya Yaar*,K.S. Adiyaman,"Salman Khan, Shilpa Shetty","Drama, Romance"
*Shaadi Se Pehle*,Satish Kaushik,"Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty, Aftab 
Shivdasani, Anupam Kher","Comedy, Romance"
*Shikhar*,,"Ajay Devgan, Bipasha Basu, Shahid Kapoor, Amrita Rao",Drama
*Shiva*,,Nisha Kothari,
*Souten: The Other Woman*,,"Gulshan Grover, Mahima Chaudhry",Drama
*Strings - Bound By Faith*,,,
*Sun Zara*,,,
*Tathastu*,Anubhav Sinha,"Sanjay Dutt, Amisha Patel","Drama, Family"
*Taxi No. 9211*,,"John Abraham, Nana Patekar, Sameera Reddy, Sonali Kulkarni","Social, Thriller"
*Teesri Aankh: The Hidden Camera*,,"Sunny Deol, Amisha Patel, Neha Dhupia","Action, Thriller"
*The Killer*,,"Irrfan Khan, Emraan Hashmi, Nisha Kothari",
*The Real Dream Girls*,Suresh Jain,"Gulshan Rana, Tanveer Hashmi, Karishma, Dipti Verma",B-grade
*Tom Dick And Harry*,Deepak Tijori,"Jimmy Shergill, Dino Morea, Anuj Sawhney Celina Jaitley, Kim Sharma",Comedy
*Umar*,,,
*Umrao Jaan*,J.P. Dutta,"Shabana Azmi, Aishwarya Rai, Abhishek Bachchan, Sunil Shetty, Divya Dutta","Drama, Romance, Social"
*Unns...Means Love*,,,
*Utthaan*,,"Priyanshu Chatterjee, Neha Dhupia",
*Vivah*,Sooraj Barjatya,"Shahid Kapoor, Amrita Rao, Anupam Kher","Romance, Drama"
