Title,Director,Cast,Genre
*Chaahat*,Mahesh Bhatt,"Shah Rukh Khan, Naseeruddin Shah, Anupam Kher, Pooja Bhatt, Ramya Krishna","Drama, Comedy, Thriller"
*Chall*,,Jackie Shroff,
*Chhota Sa Ghar*,Kalpataru,"Asrani, Neelima Azim, Ajinkya Deo",
*Chhote Sarkar*,Manoj Agarwal,"Govinda, Shilpa Shetty",Drama
*Daanveer*,T.L.V. Prasad,"Mithun Chakraborty, Vikas Anand, Anusha, Asrani","Action, Crime, Drama"
*Daraar*,*Abbas-Mustan*,"Rishi Kapoor, Juhi Chawla, Arbaaz Khan, Johnny Lever, Sushma Seth","Drama, Thriller"
*Dastak*,Mahesh Bhatt,"Sharad Kapoor, Mukul Dev, Sushmita Sen, Manoj Bajpai",Thriller
*Dil Tera Deewana*,,"Saif Ali Khan, Twinkle Khanna","Romance, Thriller"
*Diljale*,Harry Baweja,"Ajay Devgan, Sonali Bendre, Madhoo, Amrish Puri, Gulshan Grover",Action
*Duniyaa Jhukti Hai*,,"Sadashiv Amrapurkar, Jamuna, Anupam Kher",
*Dushman Duniya Ka*,Mehmood,"Manzoor Ali, Laila Mehdin, Farida Jalal, Jeetendra, Shahrukh Khan, Salman 
Khan",Drama
*Ek Anari Do Khiladi*,Ravi Raja,"Raveena Tandon, Balakrishna, Ramya Krishnan","Action, Romance, Drama"
*Ek Tha Raja*,Dayal Nihalani,"Sunil Shetty, Saif Ali Khan, Aditya Pancholi, Neelam Kothari",Romance
*English Babu Desi Mem*,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre",Romance
*Fareb*,Vikram Bhatt,"Faraaz Khan, Suman Ranganathan, Milind Gunaji",Thriller
*Fire*,Deepa Mehta,"Nandita Das, Shabana Azmi",Social
*Ghatak*,Raj Kumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Amrish Puri, Om Puri, Danny Denzongpa","Action, Romance"
*Gehra Raaz*,Ramesh Bedi,"Salma Agha, Raj Babbar, Jamuna",
*Great Robbery*,Ram Gopal Varma,"Nagarjuna Akkineni, Arun Govil, Paresh Rawal",
*Hahakaar*,Sudarshan K. Rattan,"Akshay Anand, Chandni, Neelima Azim","Action, Crime, Drama"
*Halo*,Santosh Sivan,"Benaf Dadachandji, Rajkumar Santoshi, Sahil Choujar",
*Hasina Aur Nagina*,Gautam Bhatia,"Sadashiv Amrapurkar, Jagdeep, Kiran Kumar",
*Himmat*,Sunil Sharma,"Sunny Deol, Shilpa Shetty, Tabu",Action
*Himmatvar*,Talat Jani,"Arun Bakshi, Gajendra Chouhan, Dharmendra",Action
*Hukumnama*,B.R. Ishara,"Amjad Khan, Mukesh Khanna, Rajat Kumar",
*Hum Hain Khalnayak*,R. Thakur,"Arjun, Rajni Bala, Kishore Anand Bhanushali",Action
*Hum Hain Premi*,Ajay Dixit,"Mahesh Anand, Tinnu Anand, Bindu",Romance
*Is Raat Ki Subah Nahin*,Sudhir Mishra,"Tara Deshpande, Akhil Mishra, Smriti Mishra",
*Jaan*,Raj Kanwar,"Ajay Devgn, Twinkle Khanna, Amrish Puri","Action, Romance"
*Jagannath*,,"Sangeeta Bijlani, Mukesh Khanna, Rami Reddy",Action
*Jay Baba Pashupatinath*,Satish Kumar,"Shyam Awasthi, Rajdev Jamudhale, Sudhanshu Joshi",
*Jeet*,Raj Kanwar,"Sunny Deol, Tabu, Karisma Kapoor, Salman Khan",Drama
*Jung*,T. Rama Rao,"Ajay Devgn, Mithun Chakraborty, Sujata Mehta, Rambha",
*Jurmana*,T.L.V. Prasad,"Rambha, Ashwini Bhave, Mithun Chakraborty",Action
*Kalinga*,,Jackie Shroff,
*Khamoshi: The Musical*,Sanjay Leela Bhansali,"Salman Khan, Manisha Koirala, Nana Patekar, Seema Biswas","Social, Romance"
*Khiladiyon Ka Khiladi*,Umesh Mehra,"Rekha, Akshay Kumar, Raveena Tandon",Action
*Khilona*,Deepak Pawar,"Aditya Pancholi, Monica Bedi",
*Khoon Ki Pyasi*,K.C. Handra,"Rita Bhaduri, Ramesh Goyal, Javed Khan",Horror
*Krishna*,S. Deepak,"Sunil Shetty, Karishma Kapoor","Romance, Action"
*Laalchee*,Raj N. Sippy,"Anil Dhawan, Avtar Gill, Karina Grover, Pran",Drama
*Loafer*,David Dhawan,"Anil Kapoor, Juhi Chawla, Farida Jalal, Gulshan Grover",Comedy
*Maachis*,Gulzar,"Tabu, Chandrachur Singh, Om Puri","Crime, War"
*Maahir*,Lawrence D'Souza,"Hema Malini, Govinda, Farha Naaz",Family
*Mafia*,,"Ishrat Ali, Somy Ali, Ali Asghar",Action
*Majhdhaar*,Ismayil Shroff,"Salman Khan, Manisha Koirala",Drama
*Masoom*,Mahesh Kothare,"Tinnu Anand, Sulabha Arya, Arun Bakshi, Ayesha Jhulka",Action
*Megha*,Mohanjee Prasad,"Shammi Kapoor, Karisma Kapoor, Rahul Roy",
*Mr. Bechara*,K. Bhagyaraj,"Sridevi, Anil Kapoor, Akkineni Nagarjuna, Anupam Kher","Comedy, Drama"
*Muqadama*,K.C. Bokadia,"Vinod Khanna, Aditya Pancholi, Tanuja, Guddi Maruti",Action
*Muqaddar*,T.L.V. Prasad,"Mithun Chakraborty, Moushumi Chatterjee, Ayesha Jhulka, Simran",
*Muthi Bhar Zameen*,Tinnu Anand,"Danny Denzongpa, Poonam Dhillon, Kumar Gaurav",Action
*Namak*,Kawal Sharma,"Sanjay Dutt, Farah, Fatima Sheikh, Gulshan Grover",Action
*Nirbhay*,,"Sadashiv Amrapurkar, Sangeeta Bijlani, Mithun Chakraborty",
*Papa Kehte Hai*,Mahesh Bhatt,"Jugal Hansraj, Amin Hajee, Dinesh Hingoo",
*Papi Gudia*,Lawrence D'Souza,"Avinash Wadhavan, Karisma Kapoor, Tinnu Anand","Horror, Thriller"
*Prem Granth*,Rajiv Kapoor,"Rishi Kapoor, Madhuri, Prem chopra, Shammi Kapoor","Social, Romance"
*Raja Aur Rangeeli*,K.S. Prakash Rao,Mamta Kulkarni,"Comedy, Romance"
*Raja Hindustani*,Dharmesh Darshan,"Karisma Kapoor, Aamir Khan",Romance
*Raja Ki Aayegi Baraat*,Ashok Gaekwad,"Rani Mukerji, Shadaab Khan",Drama
*Rajkumar*,Pankuj Parasher,"Naseeruddin Shah, Anil Kapoor, Madhuri Dixit","Drama, Fantasy, Family, Thriller"
*Rakshak*,Ashok Honda,"Sunil Shetty, Sonali Bendre, Karisma Kapoor",Action
*Ram Aur Shyam*,Raju Mawani,"Divya Dutta, Sidhant Salaria","Action, Crime, Drama"
*Rangbaaz*,Kanti Shah,"Ishrat Ali, Mithun Chakraborty, Jack Gaud",Action
*Return of Jewel Thief*,Ashok Tyaagi,"Ashok Kumar, Dev Anand, Dharmendra",Crime
*Saajan Chale Sasural*,David Dhawan,"Govinda, Tabu, Karisma Kapoor, Kader Khan","Comedy, Romance"
*Sanshodhan*,Govind Nihalani,"Manoj Bajpai, Vanya Joshi, Kishore Kadam",Drama
*Sapoot*,Jagdish A. Sharma,"Sunil Shetty, Akshay Kumar, Karishma Kapoor, Sonali Bendre","Romance, Action, Drama"
*Sardari Begum*,Shyam Benegal,"Kiron Kher, Surekha Sikri, Amrish Puri",Drama
*Shastra*,Sanjay Khanna,"Sunil Shetty, Anjali Jathar, Danny Denzongpa",Action
*Shikaar*,,"Urmila Matondkar, Jackie Shroff",
*Shohrat*,Sathish Ranjan,"Mahesh Anand, Aparajita, Asrani",
*Smuggler*,Ajay Kashyap,"Dharmendra, Reena Roy",
*Spot Boy*,Pasha P. Jung,"Akshay Anand, Babban, Raj Kiran",
*Talaashi*,,"Juhi Chawla, Jackie Shroff",
*Tere Mere Sapne*,Joy Augustine,"Chandrachur Singh, Arshad Warsi, Priya Gill, Simran, Pran","Romance, Drama"
*The Making of the Mahatma*,Shyam Benegal,Rajit Kapur,Biography
*The Square Circle*,Amol Palekar,"Nirmal Pandey, Sonali Kulkarni, Faiyyaz","Drama, Music, Romance"
*Tu Chor Main Sipahi*,,"Akshay Kumar, Saif Ali Khan, Tabu","Comedy, Drama"
"*Unicorn, the Garden of the Fruits*",,"Yasef Calderón, Romina Barbar, Hukum Singh","Draam, Fantasy"
*Vijeta*,K. Murali Mohan Rao,"Sanjay Dutt, Raveena Tandon, Paresh Rawal",Action
*Vishwasghaat*,Himanshu Brahmbhatt,"Sunil Shetty, Anjali Jathar, Anupam Kher",Action
*Yaaron Ka Yaar*,,Baba Sehgal,
*Yash*,Sharad Sharan,"Bijay Anand, Kartika Rane",Musical
*Zordaar*,Ajay Kashyap,"Govinda, Aditya Pancholi, Mandikini, Neelam Kothari",
*7 Days*,,,
*Aashique Mastane*,Ajay Kashyap,"Maya Alagh, Vikas Anand, Mohnish Bahl",Comedy
*Aatank Hi Aatank*,Dilip Shankar,"Aamir Khan, Juhi Chawla",Crime Romance
*Aazmayish*,Sachin,"Rohit Kumar, Dharmendra, Anjali Jathar",
*Ab Insaf Hoga*,Harish Shah,"Vikas Anand, Sahila Chaddha, Mithun Chakraborty",
*Ahankaar*,Ashim S. Samanta,"Mithun Chakraborty, Mamta Kulkarni, Mohnish Bahl, Prem Chopra",
*Akele Hum Akele Tum*,Mansoor Khan,"Aamir Khan, Manisha Koirala",Romance
*Andolan*,,"Govinda, Mamta Kulkarni, Sanjay Dutt",Comedy
*Anokha Andaaz*,Lawrence D'Souza,"Asrani, Bindu, Annu Kapoor",Romance
*Anokhi Chaal*,A. Salaam,"Amjad Khan, Suresh Oberoi, Divya Rana",
*Baazi*,Ashutosh Gowarikar,"Aamir Khan, Mamta Kulkarni",Action
*Barsaat*,Rajkumar Santoshi,"Bobby Deol, Twinkle Khanna",Romance
*Bewafa Sanam*,Gulshan Kumar,"Krishna Kumar, Shilpa Shirodkar, Sagar",Drama
*Bombay*,Mani Ratnam,"Arvind Swamy, Manisha Koirala","Romance, Drama"
*Coolie No. 1*,David Dhawan,"Govinda, Karishma Kapoor",Comedy
*Criminal*,Mahesh Bhatt,"Akkineni Nagarjuna, Manisha Koirala, Ramya Krishna, Nassar, Gulshan Grover, 
and Sharat Babu",
*Dance Party*,,"Raman Trikha, Raymond Singh, Aakruti","Family, Musical, Romance"
*Dil Ka Doctor*,Avtar Bhogal Singh,"Mahmud Babai, Nimai Bali, Shabnam Chowdhary",Comedy
*Dilwale Dulhania Le Jayenge*,Aditya Chopra,"Shahrukh Khan, Kajol, Amrish Puri, Farida Jalal",Romance
*Diya Aur Toofan*,K. Bapaiah,"Mithun Chakraborty, Madhoo, Suresh Oberoi, Mohnish Bahl, Kader Khan","Science fiction, Crime thriller"
*Dushmani: A Violent Love Story*,Bunty Soorma,"Sunny Deol, Jackie Shroff, Manisha Koirala","Action, Romance"
*Faisla Main Karungi*,Anil Sharma,"Sadashiv Amrapurkar, Sudhir Dalvi, Danny Denzongpa",Action
*Fauji*,Lawrence D'Souza,"Master Altaf, Raj Babbar, Suresh Chatwal","Action, Crime, Drama"
*Gaddaar*,Deepak Sareen,"Sunil Shetty, Harish Kumar, Sonali Bendre","Action, Drama, Romance, Thriller"
*God and Gun*,Esmayeel Shroff,"Raaj Kumar, Jackie Shroff, Gautami",
*Guddu*,Prem Lalwani,"Shahrukh Khan, Manisha Koirala, Deepti Naval, Mukesh Khanna, Mehmood",Drama
*Gundaraj*,Guddu Dhanoa,"Ajay Devgan, Kajol,",Drama
*Guneghar*,Vikram Bhatt,"Atul Agnihotri, Ishrat Ali, Pooja Bhatt",
*Haqeeqat*,Sandesh Kohli,"Ajay Devgan, Tabu, Aruna Irani,",Drama
*Hathkadi*,,"Shilpa Shetty, Govinda",Action
*Hulchul*,Anees Bazmee,"Vinod Khanna, Ajay Devgan, Kajol, Amrish Puri",Drama
*Hum Dono*,Shafi Inamdar,"Rishi Kapoor, Nana Patekar, Pooja Bhatt","Drama, Musical, Romance"
*Hum Sab Chor Hain*,Ambrish Sangal,"Vikas Anand, Aparajita, Birbal",Musical
*Inteqam Ke Sholay*,Jagdish Gautam,"Rita Bhaduri, Gurbachan, Jagdeep",
*Jai Vikraanta*,,Sanjay Dutt,
*Jallaad*,,"Vikas Anand, Sulabha Arya, Mithun Chakraborty","Drama, Action, Family, Comedy"
*Janam Kundli*,Tariq Shah,"Jeetendra, Vinod Khanna, Reena Roy",
*Jawab*,Ajay Kashyap,"Raaj Kumar, Harish, Karishma Kapoor, Prem Chopra, Mukesh Khanna",
*Kalyug Ke Avtaar*,Sham Ralhan,"Jeetendra, Reena Roy, Madhoo","Action, Romance"
*Karan Arjun*,Rakesh Roshan,"Salman Khan, Shah Rukh Khan, Kajol, Mamta Kulkarni, Raakhee, Amrish Puri",Action
*Kartavya*,Raj Kanwar,"Sanjay Kapoor, Juhi Chawla",Action
*Kis Kaam Ke Yeh Rishte*,B.R. Ishara,"Rajesh Khanna, Swapna, Shafi Inamdar",Family
*Kismat*,,"Govinda, Raakhee",
*Live Today*,Pradeep Maini,"Rakesh Bedi, Pankaj Berry, Brij Gopal",Drama
*Maa Ki Mamta*,Manju Bansal Asrani,"Rajni Bala, Rita Bhaduri, Brahmachari",Drama
*Maidan-E-Jung*,,"Akshay Kumar, Karisma Kapoor",
*Mera Damad*,,"Master Bhagwan, Utpal Dutt, Jankidas","Comedy, Drama"
*Milan*,Mahesh Bhatt,"Jackie Shroff, Manisha Koirala, Paresh Rawal","Action, Crime, Romance"
*Naajayaz*,Mahesh Bhatt,"Naseeruddin Shah, Ajay Devgn, Juhi Chawla",Thriller
*Naseem*,Saeed Akhtar Mirza,"Kaifi Azmi, Mayuri Kango, Kay Kay Menon",Drama
*Nishana*,Raj N. Sippy,"Mithun Chakraborty, Rekha, Paresh Rawal","Drama, Family"
*Oh Darling! Yeh Hai India*,Ketan Mehta,"Shahrukh Khan, Deepa Sahi, Jaaved Jaffrey",
*Paandav*,,"Akshay Kumar, Nandini, Prithvi",
*Paappi Devataa*,Harmesh Malhotra,"Dharmendra, Jeetendra, Jayapradha",
*Param Vir Chakra*,Major Ashok Kaul,"Saeed Jaffrey, Kulbhushan Kharbanda, Hema Malini",War
*Police Lock-up*,Kishan Shah,"Sadashiv Amrapurkar, Firoz Irani, Bharat Kapoor","Action, Crime, Drama"
*Policewala Gunda*,Pappu Verma,"Dharmendra, Reena Roy, Mamta Kulkarni",
*Prem*,Satish Kaushik,"Sanjay Kapoor, Tabu, Deepak Tijori","Musical, Romance"
*Raasaiyya*,Kannan,"Prabhu Deva, Roja Selvamani, M.N. Nambiar",Drama
*Raghuveer*,K. Pappu,"Sunil Shetty, Shilpa Shirodkar",
*Raja*,Indra Kumar,"Sanjay Kapoor, Madhuri Dixit, Paresh Rawal, Mukesh Khanna, Dalip Tahil",Drama
*Ram Jaane*,Rajiv Mehra,"Shahrukh Khan, Juhi Chawla, Vivek Mushran",Drama
*Ram Shastra*,Sanjay Gupta,"Jackie Shroff, Manisha Koirala, Dipti Bhatnagar","Action, Drama"
*Rangeela*,Ram Gopal Varma,"Aamir Khan, Urmila Matondkar, Jackie Shroff",Romance
*Rani Hindustani*,Anil Pandit,"Ishrat Ali, Rana Jung Bahadur, Poonam Dasgupta",Crime
*Ravan Raaj: A True Story*,T. Rama Rao,"Ishrat Ali, Mithun Chakraborty, Jack Gaud",
*Rock Dancer*,"V. Menon, Memon Roy","Govinda, Ashwani Chopra, Samantha Fox",Musical
*Saajan Ki Baahon Mein*,Jai Prakash,"Rishi Kapoor, Raveena Tandon, Sumeet Saigal, Pran","Drama, Family, Romance"
*Sabse Bada Khiladi*,Umesh Mehra,"Akshay Kumar, Mamta Kulkarni, Mohnish Behl",Action
*Sanam Harjai*,Saawan Kumar Tak,"Himanshu, Saadhika, Simran",Family
*Sanjay*,Shahrukh Sultan,"Ayub Khan, Sakshi Shivanand, Shakti Kapoor, Sadashiv Amrapurkar",Drama
*Sarhad: The Border of Crime*,Mahendra Shah,"Raj Babbar, Farha Naaz, Deepak Tijori","Action, Crime, Drama"
*Sauda (film)*,Ramesh Modi,"Sumeet Saigal, Neelam, Vikas Bhalla",Romance
*Shanivrat Mahima*,K. Kamleshwar Rao,"Bhanupriya, Arun Govil, Shabnam",Fantasy
*Surakshaa*,Raju Mavani,"Sunil Shetty, Aditya Pancholi, Saif Ali Khan, Divya Dutta, Monica Bedi","Action, Drama, Romance, Crime"
*Taaqat*,,"Dharmendra, Kajol","Crime, Romance"
*Takkar*,Bharat Rangachary,"Naseeruddin Shah, Sunil Shetty, Sonali Bendre","Drama, Action, Crime"
*Taqdeerwala*,K. Muralimohana Rao,"Venkatesh, Raveena Tandon, Asrani",
*Target*,Sandip Ray,"Mohan Agashe, Barun Chakraborty, Champa",Drama
*Teenmoti*,Ajit Dewani,"Shakti Kapoor, Rashid Khan, Shabbir Khan",Action
*The Don*,Farogh Siddique,"Mithun Chakraborty, Sonali Bendre",
*The Gambler*,,"Govinda, Shilpa Shetty","Action, Thriller, Crime"
*Trimurti*,Mukul S. Anand,"Shah Rukh Khan, Jackie Shroff, Anil Kapoor",Drama
*Vapsi Saajan Ki*,,"Ashwini Bhave, Gulshan Grover, Shoaib Khan, Pran",
*Veer*,Kanti Shah,"Ishrat Ali, Dharmendra, Gautami",Action
*Veergati*,K.K. Singh,"Salman Khan, Divya Dutta",Action
*Yaraana*,David Dhawan,"Rishi Kapoor, Madhuri Dixit, Raj Babbar, Kader Khan, Shakti Kapoor",Romance
*Zamana Deewana*,Ramesh Sippy,"Jeetendra, Shatrughan Sinha, Shahrukh Khan, Raveena Tandon",Romance Drama
*1942: A Love Story*,Vidhu Vinod Chopra,"Anil Kapoor, Manisha Koirala, Jackie Shroff, Anupam Kher, Pran, Danny 
Denzongpa","Romance, Social"
*Aa Gale Lag Jaa*,Hamid Ali Khan,"Ajit, Ishrat Ali, Arjun",Romance
*Aag*,K. Ravi Shankar,"Shilpa Shetty, Govinda, Sonali Bendre",Romance
*Aag Andhi Aur Toofan*,Kanti Shah,,
*Aag Aur Chingari*,Kanti Shah,"Asrani, Shakti Kapoor, Ravi Kishan",
*Aaja Re O Sajana*,,,
*Aaja Sanam*,,,
*Aao Pyaar Karen*,Ravendra Peepat,"Saif Ali Khan, Shilpa Shetty, Somy Ali","Drama, Romance"
*Aatish: Feel the Fire*,Sanjay Gupta,"Sanjay Dutt, Karisma Kapoor, Raveena Tandon",
*Ab To Aaja Saajan Mere*,Rakesh A. Nahata,"Arvind Joshi, Shalini Kapoor, Roma Manik","Drama, Romance"
*Amanaat*,Raj N Sippy,"Sanjay Dutt, Heera Rajgopal, Akshay Kumar","Action, Adventure"
*Andaz*,David Dhawan,"Anil Kapoor, Juhi Chawla, Karisma Kapoor","Action, Comedy, Crime, Drama"
*Andaz Apna Apna*,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karishma Kapoor, Paresh Rawal, Shakti 
Kapoor, Viju Khote",Comedy
*Anjaam*,Rahul Rawail,"Madhuri Dixit, Deepak Tijori, Shah Rukh Khan","Drama, Thriller"
*Anokha Premyudh*,,"Arun, Aruna Irani, Shakti Kapoor","Comedy, Drama, Family, Romance"
*Anth*,Sanjay Khanna,"Sunil Shetty, Somy Ali",Action
*Aranyaka*,Apurba Kishore Bir,"Mohan Gokhale, Sanjana Kapoor, Navni Parihar",
*Baali Umar Ko Salaam*,Vasant R. Patel,"Kamal Sadanah, Beena Banerjee, Tisca Chopra","Action, Comedy, Drama"
*Bandit Queen*,Shekhar Kapur,Seema Biswas Nirmal Pandey,"Biography, Social"
*Beta Ho To Aisa*,C.P. Dixit,"Vikas Anand, Anuradha, Asrani",
*Betaaj Badshah*,Iqbal Durrani,"Raaj Kumar, Shatrughan Sinha, Jay Mehta",
*Brahma*,K. Subhash,"Govinda, Madhoo, Ayesha Jhulka",
*Chaand Kaa Tukdaa*,Saawan Kumar,"Sridevi, Salman Khan","Action, Comedy, Drama"
*Chauraha*,Sadaqat Hussein,"Jeetendra, Jackie Shroff, Jayapradha",
*Cheetah*,Harmesh Malhotra,"Mithun Chakraborty, Ashwini Bhave",
*Chhoti Bahoo*,M.M. Baig,"Vikas Anand, Beena Banerjee, Bindu","Drama, Family"
*Didi*,Prakash Jha,,
*Dilbar*,B. Krishna Rao,"Mamta Kulkarni, Rishikesh Raj, Nawaz Khan","Drama, Romance, Family"
*Dilwale*,,"Ajay Devgan, Sunil Shetty, Paresh Rawal, Raveena Tandon",Romance
*Do Fantoosh*,"Sikander Bharti, Veerendra","Sadashiv Amrapurkar, Vikas Anand, Ishita Babbar",Comedy
*Droh Kaal*,,"Om Puri, Naseeruddin Shah, Mita Vasisht",
*Dulaara*,Vimal Kumar,"Govinda, Karishma Kapoor Gulshan Grover",Thriller
*Eena Meena Deeka*,David Dhawan,"Vinod Khanna, Rishi Kapoor, Juhi Chawla","Action, Crime, Comedy"
*Ekka Raja Rani*,Afzal Ahmad,"Vinod Khanna, Govinda, Ayesha Jhulka, Ashwini Bhave",
*Elaan*,,"Akshay Kumar, Madhoo",
*Ganga Aur Ranga*,Joginder,"Sahila Chaddha, Suresh Chatwal, Anita Chopra",Action
*Gangster*,Dev Anand,"Mamta Kulkarni, Manu Gargi, Anita Ayoob","Action, Drama, Thriller"
*Ghar Ki Izzat*,Kalpataru,"Jeetendra, Rishi Kapoor, Anita Raj","Comedy, Romance, Musical"
*Gopalaa*,Akash Jain,"Bindu, Suresh Chatwal, Prem Chopra",
*Gopi Kishan*,Mukesh Duggal,"Sunil Shetty, Karisma Kapoor, Shilpa Shirodkar","Action, Comedy, Crime, Drama"
*Hanste Khelte*,Bharat Rangachary,"Rahul Roy, Aparajita","Comedy, Drama"
*Hum Aapke Hain Koun..!*,Sooraj R. Barjatya,"Salman Khan, Madhuri Dixit, Alok Nath, Renuka Shahane, Reema Lagoo, Anupam 
Kher, Bindu",Romance
*Hum Hain Bemisaal*,Deepak Bahry,"Akshay Kumar, Sunil Shetty, Shilpa Shirodkar, Madhoo",
*Ikke Pe Ikka*,Raj Sippy,"Akshay Kumar, Shanti Priya, Prithvi","Action, Comedy"
*Insaaf Apne Lahoo Se*,Latif Khan,"Shatrughan Sinha, Sanjay Dutt, Shekhar Suman","Action, Drama"
*Insaniyat*,Tony Juneja,"Amitabh Bachchan, Sunny Deol, Raveena Tandon, Chunky Pandey, Jayaprada, 
Sonam, Anupam Kher, Prem Chopra, Alok Nath, Aftab Shivdasani, Vinod Mehra, 
Nutan","Action, Crime, Drama"
*Ishq Mein Jeena Ishq Mein Marna*,Miraq Mirza,"Divya Dutta, Brij Gopal, Shafi Inamdar",Romance
*Jai Kishen*,,"Akshay Kumar, Ayesha Jhulka",
*Jai Maa Karwa Chauth*,Pradeep Pandit,"Master Ankit, Banjara, Kishore Anand Bhanushali","Drama, Fantasy, History"
*Janam Se Pehle*,B.R. Ishara,"Raj Babbar, Farha Naaz, Sumeet Saigal",
*Janata Ki Adalat*,T.L.V. Prasad,"Sadashiv Amrapurkar, Asrani, Laxmikant Berde",Musical
*Jazbaat*,Anant Balani,"Suchitra Krishnamoorthi, Rohit Roy, Reema Lagoo",Romance
*Juaari*,Jagdish A. Sharma,"Dharmendra, Arman Kohli, Shilpa Shirodkar",Family
*Karan*,Shiv Kumar,"Virender Razdan, Prem Chopra, Balwant Dullat",
*Khudai*,Johny Bakshi,"Rajesh Khanna, Madhavi, Deepika",Drama
*Khuddar*,Iqbal Durrani,"Govinda, Karishma Kapoor",Action
*Kranti Kshetra*,Raajiv Kumar,"Mithun Chakraborty, Pooja Bhatt, Harish",Action
*Krantiveer*,Mehul Kumar,"Nana Patekar, Dimple Kapadia, Atul Agnihotri, Mamta Kulkarni","Drama, Romance"
*Laadla*,Raj Kanwar,"Anil Kapoor, Sridevi",Drama
*Laqshya*,Bhagwan Thakur,"Tinnu Anand, Kiran Kumar, Sujit Kumar",
*Madam X*,Deepak Shivdasani,"Rekha, Mohsin Khan, Shakti Kapoor","Action, Crime, Drama, Thriller"
*Madhosh*,Vikram Bhatt,"Dilip Dhawan, Anjali Jathar, Faisal Khan",
*Maha Shaktishaali*,K. Pappu,"Dharmendra, Ayesha Jhulka, Anupam Kher",
*Main Khiladi Tu Anari*,Sameer Malkan,"Akshay Kumar, Saif Ali Khan, Shilpa Shetty, Raageshwari","Action, Comedy"
*Mammo*,Shyam Benegal,"Farida Jalal, Surekha Sikri, Amit Phalke",Drama
*Mera Pyara Bharat*,Rama Rao Tatineni,"Tisca Chopra, Puneet Issar, Sharad S. Kapoor",Action
*Mohabbat Ki Arzoo*,K.C. Bokadia,"Zeba Bakhtiar, Rakesh Bedi, Ashwini Bhave","Action, Romance, Drama"
*Mohra*,Rajiv Rai,"Sunil Shetty, Naseeruddin Shah, Akshay Kumar, Raveena Tandon, Paresh Rawal",Action
*Mr. Azaad*,T. Ramarao,"Anil Kapoor, Niki Aneja, Ishrat Ali","Action, Musical"
*Naaraaz*,Mahesh Bhatt,"Mithun Chakraborty, Pooja Bhatt, Sonali Bendre, Atul Agnihotri","Action, Crime, Drama"
*Nazar Ke Samne*,Jagdish A. Sharma,"Akshay Kumar, Fardeen, Ekta Sohini",Family
*Paramaatma*,Bapu,"Mithun Chakraborty, Juhi Chawla, Amrish Puri","Action, Drama, Fantasy"
*Patang*,Goutam Ghose,"Shabana Azmi, Shafiq Syed, Om Puri",Drama
*Pathreela Raasta*,Ajay Kashyap,"Dimple Kapadia, Varsha Usgaonkar, Sadashiv Amrapurkar",Action
*Pehla Pehla Pyar*,Manmohan Singh,"Rishi Kapoor, Tabu, Anupam Kher","Drama, Crime, Action, Comedy"
*Prem Shakti*,Shibu Mitra,"Govinda, Karisma Kapoor, Shakti Kapoor","Action, Drama, Fantasy, Romance"
*Prem Yog*,Rajeev Kumar,"Rishi Kapoor, Madhoo, Shammi Kapoor","Drama, Family"
*Pyar Ka Rog*,,"Ravi Behl, Bindu","Comedy, Romance"
*Raja Babu*,David Dhawan,"Karishma Kapoor, Govinda, Shakti Kapoor, Kader Khan, Prem Chopra",Comedy
*Saajan Ka Ghar*,Surendra Kumar Bohra,"Rishi Kapoor, Juhi Chawla, Deepak Tijori","Drama, Family"
*Saboot Mangta Hain Kanoon*,Suraj Prakash,"Raj Babbar, Shashi Kapoor, Amjad Khan, Anita Raj",Action
*Salaami*,Shahrukh Sultan,"Ayub Khan, Samyukta, Roshini Jaffery",Adventure
*Sangdil Sanam*,Shomu Mukerji,"Salman Khan, Manisha Koirala",
*Sholay Aur Toofan*,N. Paryani,"Kiran Kumar, Raaj Premi, Damini Priya",
*Stuntman*,Deepak Balraaj Vij,"Avtar Singh Ahluwalia, Tinnu Anand, Ami Asthana","Action, Drama, Romance"
*Teesra Kaun?*,Parto Ghosh,"Mithun Chakraborty, Chunky Pandey, Somy Ali","Comedy, Drama, Thriller"
*Tejasvini*,N. Chandra,"Deepak Malhotra, Vijayshanti, Charan Raj","Action, Drama, Family"
*Thanedarni*,Surinder Kapoor,Shikha Swaroop,
*The Gentleman*,Mahesh Bhatt,"Juhi Chawla, Chiranjeevi",Action
*The Law*,Sushama Shiromanee,"Ajay Devgn, Urmila Matondkar, Kiran Kumar",Action
*Triyacharitra*,Basu Chatterjee,"Om Puri, Rajeshwari Sachdev, Naseeruddin Shah",Drama
*Two Brothers*,,Juhi Chawla,
*Udhaar Ki Zindagi*,K.V. Raju,"Jeetendra, Moushumi Chatterjee, Kajol",
*Ulfat Ki Nayee Manzilen*,K. Ravi Shankar,"Agha, Ramesh Deo, Seema Deo",
*Vaade Iraade*,Kalpana Bhardwaj,"Aayuush Kumar, Mamta Kulkarni, Kulbhushan Kharbanda",Social
*Vayu*,Velu Viswanandhan,,
*Vijaypath*,Farogh Siddique,"Ajay Devgan, Tabu, Suresh Oberoi","Romance, Drama"
