Title,Genre,Director,Cast
*International Hero*,Drama,Sanjay Niranjan,"Nakul Vaid, Jatin Grewal, Gurleen Chopra, Puneet Issar"
*Mumbai Can Dance Saala*,Thriller,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Mukesh Tiwari"
*Take It Easy*,Drama,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, 
Sulabha Arya, Vijay Kashyap"
*Sai Mahima*,Devotional,Sukhvinder Sharma,"Rritvik Mahajan, Rahul Sikka, Amrinder Singh, Jitendra Sharma"
*Tevar*,Action/Romance,Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Raj Babbar, Manoj Bajpai"
*Alone*,Horror,Bhushan Patel,"Bipasha Basu, Karan Singh Grover"
*Crazy Cukkad Family*,Comedy,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Ninad Kamat, Kushal Punjabi, Kiran Karmarkar, 
Yusuf Hussain"
*Sharafat Gayi Tel Lene*,Comedy/Thriller,Gurmmeet Singh,"Zayed Khan, Tena Desae, Rannvijay Singh, Talia Benson, Anupam Kher"
*Baby*,Thriller,Neeraj Pandey,"Akshay Kumar, Taapsee Pannu, Rana Daggubati, Anupam Kher, Kay Kay Menon, Danny 
Denzongpa"
*Dolly Ki Doli*,Romantic/Comedy,Abhishek Dogra,"Sonam Kapoor, Pulkit Samrat, Rajkummar Rao, Varun Sharma"
*Chal Guru Ho Ja Shuru*,Comedy,Manoj Sharma,"Hemant Pandey, Chandrachur Singh, Sanjay Mishra, Manoj Pahwa"
*Hawaizaada*,Drama,Vibhu Puri,"Ayushmann Khurrana, Pallavi Sharda"
*Khamoshiyan: Silences Have Secrets*,Horror,Karan Dara,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi"
*Rahasya*,Mystery,Manish Gupta,"Tisca Chopra, Ashish Vidyarthi, Kay Kay Menon"
*Jai Jawaan Jai Kisaan*,Drama,Milan Ajmera,"Jatin Khurana, Om Puri, Prem Chopra, Rati Agnihotri, Rishi Bhutani, Sanjay 
Chakraborty, Akhilesh Jain"
*Shamitabh*,Drama,R. Balki,"Amitabh Bachchan, Dhanush, Akshara Haasan"
*MSG: The Messenger*,Action/Drama,Gurmeet Ram Rahim Singh and Jeetu Arora,"Gurmeet Ram Rahim Singh, Daniel Kaleb, Fllora Saini, Jayshree Soni, 
Olexandra Semen, Gaurav Gera, Jay Singh Rajpoot, Himanshu Tiwari"
*Roy*,Romance/Thriller,Vikramjit Singh,"Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal"
*Badlapur*,Action/Thriller,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak, Divya 
Dutta"
*Qissa*,Historical Drama,Anup Singh,"Irrfan Khan, Tillotama Shome, Tisca Chopra, Faezeh Jalali, Rasika Duggal"
*Ab Tak Chhappan 2*,Crime/Drama,Aejaz Gulab,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag"
*Dum Laga Ke Haisha*,Comedy,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar"
*Badmashiyaan*,Romantic Comedy,Amit Khanna,"Suzzanna Mukherjee, Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan 
Mehra"
*Coffee Bloom*,Romance/Drama,Manu Warrier,"Arjun Mathur, Sugandha Garg, Mohan Kapur"
*Dirty Politics*,Political drama,K. C. Bokadia,"Mallika Sherawat, Jackie Shroff, Atul Kulkarni, Anupam Kher, Ashutosh Rana"
*Hey Bro*,Comedy,Ajay Chandhok,Ganesh Acharya
*NH10*,Thriller,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumar"
*Dilliwali Zaalim Girlfriend*,Comedy,Japinder Kaur,"Divyendu Sharma, Jackie Shroff, Prachi Mishra, Ira Dubey"
*Hunterrr*,Comedy,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar"
*Barkhaa*,Romance,Shadaab Mirza,"Sara Loren, Taaha Shah, Shweta Pandit, Priyanshu Chatterjee"
*Detective Byomkesh Bakshy!*,Thriller,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj 
Kabi, Meiyang Chang"
*Paisa Ho Paisa*,Comedy,Muktha Sunder,"Dhruv Bhandari, Madalasa Sharma, Kanishka Soni"
*Dharam Sankat Mein*,Drama,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Murali Sharma"
*Ek Paheli Leela*,Musical,Bobby Khan,"Sunny Leone, Jay Bhanushali, Mohit Ahlawat, Rajneesh Duggal, Rahul Dev, Jas 
Arora"
*Court*,Drama,Chaitanya Tamhane,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni"
*Margarita with a Straw*,Drama,Shonali Bose,"Kalki Koechlin, Revathi, Hussain Dalal"
*Mr. X*,Sci fi/Thriller,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur, Nora Fatehi"
*NH-8 Road to Nidhivan*,Horror,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakam Anand, Arjun Fauzdar, Swaroopa Ghosh"
Ek Adbhut Dakshina Guru Dakshina,Dance/Drama,Kiran Phadnis,"Rajeev Govinda Pillai, Rajesh Shringarpure, Sulagna Panigrahi, Girish Karnad, 
Roopa Ganguly"
*Ishq Ke Parindey*,Romance,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan"
*Kaagaz Ke Fools*,Comedy,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit 
Behl"
*Gabbar is Back*,Crime/Action,Krish,"Akshay Kumar, Shruti Haasan, Suman"
*Sabki Bajegi Band*,Thriller/Drama,Anirudh Chawla,"Sumeet Vyas, Swara Bhaskar, Alekh Sangal, Shaurya Chauhan, Amol Parashar"
*Kuch Kuch Locha Hai*,Comedy,Devang Dholakia,"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chabbra"
*Piku*,Comedy/Drama,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee, Jisshu 
Sengupta"
*Bombay Velvet*,Crime/Drama,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon"
*Main Hoon Rajinikanth*,Spoof/Comedy/Thriller,Faisal Saif,"Adithya Menon, Kavita Radheshyam"
*Tanu Weds Manu Returns*,Romance/Comedy,Anand L. Rai,"R. Madhavan, Kangana Ranaut"
*I Love Desi*,Comedy,Pankaj Batra,"Vedant Bali, Priyanka Shah, Gulshan Grover"
*Ishqedarriyaan*,Drama,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Kavin Dave, Mohit Dutta"
*P Se PM Tak*,Comedy,Kundan Shah,"Meenakshi Dixit, Rocky Verma, Bharat Jadhav, Yashpal Sharma"
*Welcome to Karachi*,Comedy,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Ayub Khoso, Adnan Shah, Imran 
Hasnee"
