Title,Genre,Director,Cast
*Dil Dhadakne Do*,Drama,Zoya Akhtar,"Ranveer Singh, Priyanka Chopra, Farhan Akhtar, Anushka Sharma, Anil Kapoor, Shefali 
Shah"
*Mere Genie Uncle 3D*,Drama,Ashish Bhavsar,"Tiku Talsania, Swati Kapoor Shakti Kapoor, Ehsaan Qureshi"
*Hamari Adhuri Kahani*,Romance/Drama,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao"
*ABCD 2*,Dance,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor , Prabhu Deva, Lauren Gottlieb, Dharmesh 
Yelande, Punit Pathak, Raghav Juyal"
*Miss Tanakpur Haazir Ho*,Comedy/Drama,Vinod Kapri,"Annu Kapoor, Om Puri, Rahul Bagga, Hrishita Bhatt"
*Uvaa*,Social/Comedy,Jasbir Bhaati,"Om Puri, Jimmy Shergill, Sangram Singh, Archana Puran Singh"
*Bezubaan Ishq*,Romance,Jashwant Gangani,"Nishant Malkani, Mugdha Godse, Sneha Ullal"
*Guddu Rangeela*,Comedy,Subhash Kapoor,"Arshad Warsi, Aditi Rao Hydari, Amit Sadh"
*Second Hand Husband*,Drama,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra"
*Baahubali*,Action,S. S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
*I Love NY*,Romance/Drama,Radhika Rao,"Sunny Deol, Kangana Ranaut"
*Thoda Lutf Thoda Ishq*,Romance/Drama,Sachin Gupta,"Hiten Tejwani, Sanjay Mishra"
*Bajrangi Bhaijaan*,Action/Comedy/Drama,Kabir Khan,"Salman Khan, Kareena Kapoor Khan, Nawazuddin Siddiqui, Harshaali Malhotra"
*Aisa Yeh Jahaan*,Drama,Biswajeet Bora,"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma"
*Masaan*,Drama,Neeraj Ghaywan,"Richa Chadda, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi"
*Drishyam*,Drama/Thriller,Nishikant Kamat,"Ajay Devgan, Tabu, Shriya Saran, Rajat Kapoor"
*Bangistan*,Comedy,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat"
*Brothers*,Drama,Karan Malhotra,"Akshay Kumar, Siddharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan 
Stevens, Kareena Kapoor Khan"
*Gour Hari Dastaan*,Drama,Anant Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee"
*Manjhi - The Mountain Man*,Drama,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte"
*All Is Well*,Drama,Umesh Shukla,"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak"
*Kaun Kitne Paani Mein*,Social/Drama,Nila Madhab Panda,"Saurabh Shukla, Radhika Apte, Gulshan Grover"
*Phantom*,Action/Thriller,Kabir Khan,"Saif Ali Khan, Katrina Kaif"
*Welcome Back*,Romance/Comedy,Anees Bazmee,"John Abraham, Shruti Hassan, Anil Kapoor, Nana Patekar, Paresh Rawal, Dimple 
Kapadia"
*Hero*,Action/Romance,Nikhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi, Sharad 
Kelkar"
*Sorry Daddy*,Action/Drama,Vijay Pal and Shakur,"Shamim Khan, Mukesh Tiwari, Tinu Verma"
*Katti Batti*,Romance/Comedy,Nikhil Advani,"Imran Khan, Kangana Ranaut"
*Meeruthiya Gangster*,Crime/Comedy,Zeishan Quadri,"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita 
Sharma"
*MSG-2:The Messenger*,Action/Thriller,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh
*Kis Kisko Pyaar Karoon*,Comedy,Abbas-Mustan,"Kapil Sharma, Arbaz Khan, Manjari Phadnis, Simran Kaur Mundi, Elli Avram, 
Sai Lokur, Varun Sharma, Supriya Pathak"
*Calendar Girls*,Drama,Madhur Bhandarkar,"Akanksha Puri, Kyra Dutt, Avani Modi, Ruhi Singh"
*Bhaag Johnny*,Drama,Shivam Nair,"Kunal Khemu, Zoa Morani, Mandana Karimi"
*Time Out*,Drama,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri"
*Singh Is Bliing*,Comedy,Prabhu Deva,"Akshay Kumar, Amy Jackson"
*Talvar*,Thriller,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Tabu"
*Jazbaa*,Action/Drama,Sanjay Gupta,"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi,"
*Bumper Draw*,Comedy,Irshad Khan,"Rajpal Yadav, Zakir Hussain, Subrat Dutta, Rushad Rana"
*Chinar Daastaan-E-Ishq*,Romantic/Drama,Sharique Minhaj,"Faisal Khan, Inayat Sharma, Dalip Tahil, Shahbaz Khan"
*Pyaar Ka Punchnama 2*,Comedy,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Omkar Kapoor"
*Wedding Pullav*,Comedy,Binod Pradhan,"Anushka Ranjan, Diganth Manchale, Karan Grover, Rishi Kapoor, Sonalli 
Sehgall"
*Shaandaar*,Romance/Comedy,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur"
*Titli*,Drama,Kanu Behl,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl"
*Main Aur Charles*,Thriller,Prawaal Raman,"Randeep Hooda, Richa Chadda, Adil Hussain, Nandu Madhav"
*Once Upon A Time In Bihar*,Political,Nitin Chandra,"Ashish Vidyarthi, Kranti Prakash Jha, Ajay Kumar, Arti Puri, Pankaj Jha, 
Deepak Singh"
Guddu Ki Gun,Comedy,"Shantanu Ray Chhibber, Sheershak Anand","Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas"
*Love Exchange*,Romance,Raj V Shetty,"Mohit Madan, Jyoti Sharma"
*Prithipal Singh... A Story*,Biopic,Babita Puri,"Vikas Kumar, Anjali Singh"
*Four Pillars of Basement*,Thriller,Giresh Naik K,"Dillzan Wadia, Bruna Abdullah, Aaliya Singh, Zakir Hussain"
*Charlie Kay Chakkar Mein*,Crime/Thriller,Manish Srivasta,Naseeruddin Shah
*Yaara Silly Silly*,Romance,Subhash Sehgal,"Paoli Dam, Parambrata Chatterjee"
Ranbanka,Thriller,Aryeman Ramsay,"Manish Paul, Ravi Kishan, Pooja Thakur"
*Prem Ratan Dhan Payo*,Drama,Sooraj Barjatya,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Swara Bhaskar, Armaan Kohli, Anupam 
Kher, Deepak Dobriyal, Sanjay Mishra"
*X*,Anthology,Various Directors,"Rajat Kapoor, Huma Qureshi"
*Angry Indian Goddesses*,Drama,Pan Nalin,"Sarah-Jane Dias, Tannishtha Chatterjee, Anushka Manchanda, Sandhya Mridul"
*Tamasha*,Romance,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor"
*Hate Story 3*,Thriller,Vishal Pandya,"Zarine Khan, Daisy Shah, Sharman Joshi, Karan Singh Grover"
*Kajarya*,Drama,Madhureeta Anand,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil"
*The Silent Heroes*,Adventure,Mahesh Bhatt,"Maanuv Bhardawaj, Priyanka Panchal, Mann Bagga, Simran Deep, Nirmal Kumar 
Pant"
*Bajirao Mastani*,Drama,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra"
*Dilwale*,Drama,Rohit Shetty,"Shahrukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
