Title,Genre,Director,Cast
*Daawat-E-Ishq*,Comedy/Drama,Habib Faisal,"Aditya Roy Kapur, Parineeti Chopra, Anupam Kher"
*Khoobsurat*,Romance/Comedy,Shashanka Ghosh,"Sonam Kapoor, Fawad Afzal Khan, Kirron Kher, Ratna Pathak, Aamir Raza 
Hussain"
*3 A.M.*,Horror,Vishal Mahadkar,"Rannvijay Singh, Anindita Nayar, Salil Acharya, Kavin Dave"
*Chaarfutiya Chhokare*,Thriller,Manish Harishankar,"Soha Ali Khan, Seema Biswas, Zakir Hussain"
*Desi Kattey*,Drama/Action,Anand Kumar,"Suniel Shetty, Akhil Kapur, Jay Bhanushali, Sasha Agha, Tia Bajpai"
*Meinu Ek Ladki Chaahiye*,Social satire,Abhishek Bindal,"Raghuvir Yadav, Puru Chibber, Reecha Sinha and Zakir Hussain"
*Balwinder Singh Famous Ho Gaya*,Comedy,Sunil Agnihotri,"Mika Singh, Shaan, Gabriela Bertante"
*Bang Bang!*,Action,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Javed Jaffrey"
*Haider*,Drama,Vishal Bhardwaj,"Tabu, Shahid Kapoor, Shraddha Kapoor, Kay Kay Menon"
*Jigariyaa*,Romance,Raj Purohit,"Harshvardhan Deo, Cherry Mardia, Virendra Saxena, K.K. Raina, Navni Parihar, 
Natasha Rastogi"
*Ekkees Toppon Ki Salaami*,Political Satire,Ravindra Gautam,"Anupam Kher, Neha Dhupia, Divyendu Sharma, Manu Rishi, Aditi Sharma"
*Tamanchey*,Crime/Romance,Navneet Behal,"Nikhil Dwivedi, Richa Chadda"
*Mumbai 125 KM 3D*,Horror,Hemant Madhukar,"Veena Malik, Karanvir Bohra, Vedita Pratap Singh, Aparna Bajpai"
*Sonali Cable*,Comedy/Drama,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Raghav Juyal, Anupam Kher, Smita Jaykar"
*Happy New Year*,Action/Comedy,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, 
Vivaan Shah"
